date,walking_speed_avg,walking_speed_min,walking_speed_max,count
2024-06-27,4.070857142857143,2.34,5.976,63
2024-06-28,3.732705882352941,1.656,6.048,51
2024-06-29,4.224214285714285,3.06,6.012,56
2024-06-30,4.3632,3.348,5.652,30
2024-07-01,4.17825,2.412,6.192,48
2024-07-02,4.4601702127659575,3.42,6.624,47
2024-07-03,4.154538461538461,2.556,5.436,52
2024-07-04,4.2948,2.268,6.624,50
2024-07-05,4.127261538461538,2.952,5.508,65
2024-07-06,4.284000000000001,3.132,5.436,37
2024-07-07,4.0765714285714285,2.952,5.508,21
2024-07-08,4.225846153846154,2.412,6.048,52
2024-07-09,4.183522388059702,2.232,6.372,67
2024-07-10,4.268945454545454,2.988,6.588,55
2024-07-11,4.506631578947369,2.916,5.76,38
2024-07-12,4.146545454545455,1.98,5.724,33
2024-07-13,3.8699999999999997,2.16,5.472,36
2024-07-14,4.12272,3.384,5.076,25
2024-07-15,4.584,3.492,5.544,33
2024-07-16,3.986181818181818,1.764,5.904,44
2024-07-17,4.1232,3.204,4.86,15
2024-07-18,4.1167058823529405,2.772,6.12,34
2024-07-19,4.168173913043478,2.916,5.796,23
2024-07-20,4.176,2.844,5.508,63
2024-07-21,4.184,2.628,6.156,54
2024-07-22,4.552758620689655,2.952,6.048,58
2024-07-23,4.56192,3.276,6.408,50
2024-07-24,4.146612244897959,2.196,5.76,49
2024-07-25,4.281488372093023,2.988,5.724,43
2024-07-26,4.044983606557377,2.844,5.904,61
2024-07-27,4.1916,2.34,5.976,30
2024-07-28,4.104,2.988,5.832,45
2024-07-29,4.039826086956522,1.836,5.796,46
2024-07-30,4.097828571428572,1.296,5.832,35
2024-07-31,4.351636363636363,3.06,6.12,33
2024-08-01,4.5414,3.384,6.624,40
2024-08-02,4.209545454545455,2.16,5.724,44
2024-08-03,4.521405405405406,3.276,5.832,37
2024-08-04,4.365163636363636,2.772,6.048,55
2024-08-05,4.225846153846154,2.808,6.696,52
2024-08-06,4.24128,2.34,5.688,75
2024-08-07,4.388170212765957,3.204,6.264,47
2024-08-08,4.022584615384615,1.548,5.508,65
2024-08-09,4.329882352941176,2.484,5.58,51
2024-08-10,3.874421052631579,2.448,6.588,114
2024-08-11,4.004536082474226,2.484,6.192,97
2024-08-12,4.046644067796611,2.448,6.624,59
2024-08-13,4.069459459459459,2.052,6.012,74
2024-08-14,4.053142857142857,2.988,5.436,63
2024-08-15,3.879,2.196,5.652,52
2024-08-16,4.269306122448979,2.232,5.904,49
2024-08-17,4.157217391304348,2.952,6.048,46
2024-08-18,4.295547169811321,3.168,6.336,53
2024-08-19,4.000881355932203,1.512,6.12,59
2024-08-20,4.696,1.908,5.976,45
2024-08-21,4.4418,2.844,5.688,60
2024-08-22,4.329473684210527,1.584,6.048,38
2024-08-23,4.41,3.42,5.4,32
2024-08-24,4.2700645161290325,2.808,5.472,31
2024-08-25,4.384363636363636,3.204,5.796,33
2024-08-26,3.9117735849056605,1.08,5.256,53
2024-08-27,4.522153846153846,2.844,5.4,26
2024-08-28,4.4610810810810815,2.916,6.48,37
2024-08-29,4.293818181818182,1.944,5.976,55
2024-08-30,4.068,2.124,5.04,44
2024-08-31,4.090829268292683,2.988,5.652,41
2024-09-01,4.143428571428571,2.772,5.616,21
2024-09-02,4.774764705882353,2.232,6.948,68
2024-09-03,4.3605,2.844,5.364,32
2024-09-04,4.650827586206896,3.24,6.912,58
2024-09-05,4.4328,3.276,6.12,45
2024-09-06,4.333292307692307,1.656,5.868,65
2024-09-07,3.814137931034483,1.332,5.868,58
2024-09-08,3.885882352941177,3.132,5.688,17
2024-09-09,4.373647058823529,3.132,5.508,51
2024-09-10,4.231028571428571,2.448,5.868,70
2024-09-11,3.988235294117647,2.34,5.292,51
2024-09-12,4.312285714285714,3.06,6.084,56
2024-09-13,3.9658775510204083,1.26,7.056,49
2024-09-14,3.9392,1.728,5.796,45
2024-09-15,3.834,3.096,4.572,2
2024-09-16,4.598545454545454,2.16,6.516,99
2024-09-17,4.024125,3.024,6.696,32
2024-09-18,4.4782758620689656,2.268,6.156,58
2024-09-19,4.248679245283019,2.304,6.264,53
2024-09-20,4.3271999999999995,2.88,6.48,40
2024-09-21,3.8714999999999997,1.656,5.544,24
2024-09-22,4.329931034482758,3.06,5.76,29
2024-09-23,3.95775,2.268,5.904,64
2024-09-24,4.318641509433962,2.304,5.652,53
2024-09-25,4.464,2.808,6.192,35
2024-09-26,4.344279069767442,3.06,6.048,43
2024-09-27,4.3621875,2.448,6.66,64
2024-09-28,4.063384615384615,2.16,5.112,39
2024-09-29,4.0446,2.628,5.832,80
2024-09-30,4.038967741935484,1.476,5.4,62
2024-10-01,3.948,2.016,6.444,42
2024-10-02,2.721,1.584,4.212,12
2024-10-03,4.0661443298969075,1.764,5.76,97
2024-10-04,4.012,2.088,5.58,63
2024-10-05,3.9877894736842108,2.304,5.724,57
2024-10-06,4.303999999999999,2.376,5.976,36
2024-10-08,4.459636363636363,3.168,5.832,33
2024-10-09,4.601368421052632,2.664,7.2,38
2024-10-10,4.3776,3.168,5.868,50
2024-10-11,4.236800000000001,2.628,6.012,45
2024-10-12,4.480363636363636,1.908,6.084,33
2024-10-13,4.3227692307692305,2.736,6.192,26
2024-10-14,4.0305,2.772,5.4,48
2024-10-15,4.236545454545454,3.348,5.616,44
2024-10-16,4.263718309859155,2.592,6.444,71
2024-10-17,4.307261538461538,1.872,6.768,65
2024-10-18,4.0016,2.016,5.832,45
2024-10-19,4.322666666666667,2.808,5.76,27
2024-10-20,3.4956,1.188,5.148,30
2024-10-21,4.3241538461538465,2.124,5.544,26
2024-10-22,4.369846153846154,2.304,6.048,39
2024-10-23,4.324,2.772,5.832,27
2024-10-24,4.373560975609756,2.556,5.76,41
2024-10-25,4.349314285714286,2.016,6.156,70
2024-10-26,4.190553191489362,1.98,6.768,47
2024-10-27,4.3722,3.708,5.544,20
2024-10-28,4.316936170212766,2.664,6.228,47
2024-10-29,4.059870967741936,0.936,6.12,31
2024-10-30,4.22,1.692,5.508,27
2024-10-31,4.186285714285715,1.728,5.364,42
2024-11-01,4.085,2.772,6.048,36
2024-11-02,3.8705806451612905,2.952,5.436,31
2024-11-03,4.23391304347826,2.88,5.292,23
2024-11-04,4.490608695652174,3.528,6.048,46
2024-11-05,4.17852,1.728,6.012,100
2024-11-06,4.351,2.916,5.796,36
2024-11-07,4.256307692307693,2.916,5.58,26
2024-11-08,4.201714285714286,3.24,5.508,28
2024-11-09,4.176,3.024,5.58,26
2024-11-10,3.8068656716417912,2.124,5.544,67
2024-11-11,4.181478260869565,2.808,5.328,46
2024-11-12,4.277853658536586,2.052,5.832,41
2024-11-13,4.155709090909091,2.232,6.3,55
2024-11-14,4.035323076923077,2.232,6.444,65
2024-11-15,4.283181818181818,2.88,5.58,44
2024-11-16,3.94468085106383,2.88,5.256,47
2024-11-17,4.295368421052632,3.312,5.724,38
2024-11-18,4.7458723404255325,3.348,6.372,47
2024-11-19,4.389488372093023,1.404,6.048,43
2024-11-20,4.406953846153846,2.988,5.904,65
2024-11-21,4.702064516129033,2.268,7.092,31
2024-11-22,4.5188852459016395,3.24,6.3,61
2024-11-23,4.216595744680851,3.168,5.76,47
2024-11-24,4.272988235294117,2.808,6.408,85
2024-11-25,4.36969014084507,2.592,5.868,71
2024-11-26,4.317230769230769,2.988,5.472,78
2024-11-27,4.707473684210526,3.672,6.516,38
2024-11-28,4.5084,2.484,6.372,60
2024-11-29,4.676347826086957,1.944,6.444,69
2024-11-30,4.095616438356164,2.736,6.156,146
2024-12-01,4.244547945205479,3.096,6.156,73
2024-12-02,4.332571428571429,2.304,6.372,63
2024-12-03,4.834188679245282,3.024,6.444,53
2024-12-04,4.3903125,2.412,6.264,64
2024-12-05,4.17035294117647,3.096,6.156,51
2024-12-06,4.601999999999999,2.484,5.868,24
2024-12-07,4.37254054054054,1.908,6.768,37
2024-12-08,4.300714285714286,3.276,5.472,28
2024-12-09,4.846736842105264,2.664,6.768,57
2024-12-10,4.4312,3.276,6.084,45
2024-12-11,4.063935483870968,2.376,6.876,62
2024-12-12,4.0248,2.7,5.544,55
2024-12-13,4.26075,2.376,6.768,48
2024-12-14,3.9960000000000004,2.412,6.264,97
2024-12-15,4.0440000000000005,2.34,5.616,27
2024-12-16,4.2050769230769225,2.34,5.796,52
2024-12-17,4.184262295081967,2.52,6.264,61
2024-12-18,4.316,3.492,5.796,27
2024-12-19,4.6422295081967215,3.24,6.552,61
2024-12-20,4.552656716417911,2.196,6.876,67
2024-12-21,4.198811881188119,2.808,5.508,101
2024-12-22,4.649684210526316,2.736,6.372,19
2024-12-23,4.720186046511627,2.304,6.84,43
2024-12-24,4.273411764705882,2.7,6.12,34
2024-12-25,4.4928,3.132,6.084,40
2024-12-26,5.0875200000000005,3.996,7.38,25
2024-12-27,4.445485714285715,2.808,6.012,35
2024-12-28,4.3744000000000005,2.412,6.48,90
2024-12-29,4.032,2.556,5.868,51
2024-12-30,4.4505,2.16,5.58,40
2024-12-31,4.490399999999999,1.872,5.832,30
2025-01-01,4.3035,2.664,5.328,24
2025-01-02,4.68675,2.844,6.372,32
2025-01-03,4.630909090909091,3.384,6.264,22
2025-01-04,4.5198,3.312,6.912,20
2025-01-05,4.526285714285715,2.16,6.084,63
2025-01-06,4.424914285714285,1.692,5.4,35
2025-01-07,4.739538461538461,3.492,6.48,26
2025-01-08,4.533230769230769,2.844,5.976,39
2025-01-09,4.5184,2.052,6.552,45
2025-01-10,4.47790909090909,2.628,6.012,44
2025-01-11,4.070117647058824,3.276,5.112,17
2025-01-12,4.188461538461539,2.52,5.58,26
2025-01-13,4.601739130434782,2.448,7.416,46
2025-01-14,4.367414634146341,3.096,6.084,41
2025-01-15,4.4624,2.34,5.976,45
2025-01-16,4.557818181818181,3.636,5.868,33
2025-01-17,4.774829268292683,3.312,6.408,41
2025-01-18,4.0328372093023255,3.132,5.868,43
2025-01-19,4.562399999999999,3.348,5.796,15
2025-01-20,4.620375,2.736,6.48,64
2025-01-21,4.383849056603774,2.412,6.12,53
2025-01-22,4.362299999999999,2.592,5.976,40
2025-01-23,4.3533333333333335,2.196,5.832,27
2025-01-24,4.529999999999999,3.204,6.012,42
2025-01-25,4.416827586206896,2.952,6.12,29
2025-01-26,4.196769230769231,2.448,5.328,26
2025-01-28,4.083428571428572,2.592,5.076,14
2025-01-29,3.6516521739130434,3.024,4.32,23
2025-01-30,3.672,3.672,3.672,1
2025-01-31,3.7662352941176467,1.908,6.408,68
2025-02-01,4.592470588235294,2.844,6.3,51
2025-02-03,4.5219130434782615,3.096,5.436,23
2025-02-04,4.704000000000001,3.096,6.264,21
2025-02-05,4.305176470588235,2.88,6.192,34
2025-02-06,3.6462857142857144,2.16,5.22,14
2025-02-07,4.2282,3.204,5.508,20
2025-02-08,4.195894736842105,2.916,5.544,38
2025-02-09,4.606199999999999,3.744,6.084,20
2025-02-10,4.4016,2.88,7.092,45
2025-02-11,4.358482758620689,2.376,5.688,29
2025-02-12,4.6419999999999995,3.024,6.876,36
2025-02-13,4.242857142857143,3.06,5.436,21
2025-02-14,4.531764705882353,3.06,6.012,34
2025-02-15,4.2156,3.204,5.256,20
2025-02-16,4.3008,2.952,5.724,30
2025-02-17,4.160571428571428,2.952,5.4,49
2025-02-18,4.509,3.564,5.796,32
2025-02-19,4.602857142857142,3.096,6.48,42
2025-02-20,4.917230769230769,3.132,6.228,39
2025-02-21,4.562181818181818,3.132,6.084,33
2025-02-22,4.158,2.844,6.192,26
2025-02-23,4.452,3.06,6.48,21
2025-02-24,4.110792452830189,2.7,5.364,53
2025-02-25,4.627317073170731,3.06,6.552,41
2025-02-26,4.3632,3.204,5.724,40
2025-02-27,4.4235,2.484,6.804,56
2025-02-28,4.338,2.88,5.976,32
2025-03-01,4.14675,2.808,5.22,32
2025-03-02,4.041257142857143,2.484,6.696,70
2025-03-03,4.468390243902439,2.916,6.192,41
2025-03-04,4.68753488372093,3.42,6.3,43
2025-03-05,4.5488,3.384,6.408,45
2025-03-06,4.5264375,1.764,5.796,64
2025-03-07,4.626642857142857,3.42,6.264,56
2025-03-08,4.000710280373832,2.268,5.94,107
2025-03-09,3.915,3.132,5.436,32
2025-03-10,4.7232,3.132,6.012,40
2025-03-11,4.435471698113207,3.348,5.868,53
2025-03-12,3.817241379310345,2.448,6.048,58
2025-03-13,4.043172413793103,3.096,5.688,58
2025-03-14,4.334048780487805,2.664,5.796,41
2025-03-15,4.447384615384616,3.6,6.192,26
2025-03-16,4.26868085106383,2.808,6.012,47
2025-03-17,4.282875,2.736,5.472,32
2025-03-18,4.2828,3.168,5.58,30
2025-03-19,4.588285714285714,2.304,6.156,42
2025-03-20,4.30419512195122,2.412,5.94,41
2025-03-21,4.517217391304348,2.7,5.94,46
2025-03-22,3.921923076923077,2.412,5.796,52
2025-03-23,4.277288135593221,3.024,5.868,59
2025-03-24,4.31856,2.592,6.048,50
2025-03-25,4.592727272727273,3.096,6.372,33
2025-03-26,4.858243902439024,3.6,6.192,41
2025-03-27,4.264,2.844,6.732,99
2025-03-28,4.3512,2.376,5.724,45
2025-03-29,4.3248,2.736,5.832,30
2025-03-30,4.5925714285714285,2.268,6.048,35
2025-03-31,4.450846153846154,2.484,6.012,52
2025-04-01,4.1176216216216215,1.8,5.076,37
2025-04-02,4.226553191489361,2.268,6.588,47
2025-04-03,4.18353488372093,2.88,6.444,43
2025-04-04,4.302,2.592,6.696,80
2025-04-05,4.150799999999999,2.736,5.868,140
2025-04-06,4.508307692307692,2.952,6.624,39
2025-04-07,4.204421052631579,2.052,5.94,38
2025-04-08,4.303148936170213,1.512,6.336,47
2025-04-09,4.003714285714286,2.664,5.256,56
2025-04-10,4.276653061224489,2.844,5.544,49
2025-04-11,4.0536,2.484,5.904,50
2025-04-12,4.49775,2.916,5.976,16
2025-04-13,4.088842105263158,2.484,4.896,19
2025-04-14,4.14975,1.872,5.868,48
2025-04-15,4.443428571428572,3.276,6.084,35
2025-04-16,4.25952,3.132,5.904,50
2025-04-17,4.471333333333333,2.412,6.048,54
2025-04-18,4.340432432432433,2.664,6.3,37
2025-04-19,4.102153846153846,1.944,5.292,78
2025-04-20,4.339285714285714,3.168,5.364,28
2025-04-21,4.4916,1.62,6.156,30
2025-04-22,4.373600000000001,3.204,5.688,45
2025-04-23,4.005473684210526,1.584,5.76,38
2025-04-24,4.357358490566038,3.06,6.192,53
2025-04-25,4.480666666666666,2.268,6.156,54
2025-04-26,3.8205,2.52,5.112,56
2025-04-27,4.5508235294117645,2.412,6.12,51
2025-04-28,4.2284999999999995,2.196,5.472,48
2025-04-29,4.54272,2.772,5.94,75
2025-04-30,4.113415384615385,2.592,5.472,65
2025-05-01,3.606,1.62,4.86,24
2025-05-02,3.96,1.908,6.552,45
2025-05-03,3.6737560975609758,2.016,6.228,123
2025-05-04,3.664565217391304,2.016,5.94,92
2025-05-05,4.0761290322580646,2.556,5.796,31
2025-05-06,4.275,2.268,7.056,36
2025-05-07,4.379707317073171,2.88,6.012,41
2025-05-08,4.49735294117647,1.188,6.552,68
2025-05-09,4.2336,1.98,5.76,40
2025-05-10,4.10325,2.88,5.868,48
2025-05-11,4.266260869565218,2.088,6.048,69
2025-05-12,4.392,2.772,5.508,49
2025-05-13,4.434612244897959,1.548,6.192,49
2025-05-14,4.473,3.42,5.544,44
2025-05-15,4.251529411764706,2.412,6.3,51
2025-05-16,4.313853658536585,3.24,6.372,41
2025-05-17,4.258,2.556,5.976,18
2025-05-18,4.02923076923077,2.52,4.968,26
2025-05-19,3.9816000000000003,2.196,5.328,50
2025-05-20,4.323214285714285,3.06,5.832,56
2025-05-21,4.312216216216216,1.62,6.012,37
2025-05-22,4.080342857142857,1.512,5.976,35
2025-05-23,4.068679245283018,3.024,5.256,53
2025-05-24,4.203574468085106,2.52,6.768,47
2025-05-25,4.145052631578947,3.24,5.4,57
2025-05-26,4.494508474576271,2.628,5.76,59
2025-05-27,4.647891891891892,3.096,5.796,37
2025-05-28,4.464818181818182,2.844,6.444,44
2025-05-29,4.158439024390244,2.268,5.544,41
2025-05-30,4.489920000000001,2.196,6.984,50
2025-05-31,4.706181818181818,3.888,5.94,11
2025-06-01,4.176,2.412,7.416,34
2025-06-02,3.132,3.132,3.132,1
2025-06-03,4.613538461538462,3.312,5.976,39
2025-06-04,4.2270697674418605,2.916,6.084,43
2025-06-05,4.3793999999999995,3.564,5.544,40
2025-06-06,4.284,2.952,5.148,32
2025-06-07,4.145538461538461,2.952,5.652,13
2025-06-08,4.188,3.564,4.896,15
2025-06-09,4.202,2.808,5.436,36
2025-06-10,4.827461538461538,2.664,6.264,52
2025-06-11,4.476923076923077,3.06,5.904,39
2025-06-12,4.4958857142857145,3.168,6.048,35
2025-06-13,4.2925,2.736,6.336,72
2025-06-14,4.0907368421052634,2.412,5.184,19
2025-06-15,4.0348235294117645,2.7,5.364,51
2025-06-16,4.138199999999999,2.52,6.192,40
2025-06-17,4.170109090909091,2.916,5.796,55
2025-06-18,4.310608695652174,2.52,5.868,46
2025-06-19,4.1472,2.304,5.868,35
2025-06-20,4.335428571428571,3.204,6.192,35
2025-06-21,3.657103448275862,2.664,4.644,29
2025-06-22,3.94344,2.88,5.22,50
2025-06-23,4.2291,2.736,5.724,40
2025-06-24,4.361142857142857,3.276,6.3,49
2025-06-25,4.390105263157895,2.592,5.904,38
2025-06-26,4.1607,2.88,5.58,40
2025-06-27,4.0234736842105265,2.628,5.184,38
2025-06-28,4.352785714285714,2.916,6.696,56
2025-06-29,3.8026666666666666,2.412,4.752,27
2025-06-30,4.188857142857143,3.348,6.084,42
2025-07-01,4.301084745762712,2.88,5.58,59
2025-07-02,4.499076923076923,3.24,6.264,39
2025-07-03,4.458976744186046,3.168,6.516,43
2025-07-04,3.8775,1.98,5.148,24
2025-07-05,3.807272727272727,2.484,4.932,33
2025-07-06,3.785625,1.332,6.66,32
2025-07-07,4.270736842105263,3.06,6.156,38
2025-07-08,4.354,2.232,5.58,54
2025-07-09,4.236631578947368,3.276,5.184,38
2025-07-10,4.268769230769231,3.528,5.58,26
2025-07-11,4.347771428571429,2.376,6.588,35
2025-07-12,4.292689655172413,2.484,6.624,58
2025-07-13,4.6600851063829785,3.528,6.516,47
2025-07-14,4.376571428571428,3.276,6.156,49
2025-07-15,4.0704,2.448,4.824,30
2025-07-16,4.155882352941177,1.98,6.336,34
2025-07-17,4.3966956521739124,2.34,5.868,46
2025-07-18,4.434545454545455,3.276,5.76,33
2025-07-19,4.2268965517241375,2.736,5.184,29
2025-07-20,4.1975999999999996,3.6,5.76,15
2025-07-21,4.0688,2.772,5.904,45
2025-07-22,4.003363636363637,2.124,5.544,44
2025-07-23,4.739,3.744,6.048,36
2025-07-24,4.2564,2.232,5.868,60
2025-07-25,4.27,1.332,6.48,36
2025-07-26,4.387561643835616,2.376,6.3,73
2025-07-27,3.7989473684210524,2.448,4.608,19
2025-07-28,4.62745945945946,3.78,5.976,37
2025-07-29,4.405263157894737,1.26,5.832,38
2025-07-30,4.419918367346939,3.276,6.732,49
2025-07-31,4.0447999999999995,2.844,5.796,45
